Move,Score,Matrix,Direction
10,16,"[2, 8, 2, 4, 4, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",left
11,20,"[2, 8, 2, 4, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0]",up
12,28,"[2, 8, 2, 4, 0, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0, 4]",right
13,28,"[2, 8, 2, 4, 2, 8, 0, 2, 2, 0, 0, 0, 4, 0, 0, 0]",left
14,48,"[0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 4, 4, 16, 2, 2]",down
15,52,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 2, 4, 0, 4, 16, 4]",right
16,56,"[0, 0, 0, 0, 4, 2, 0, 2, 4, 4, 0, 0, 4, 16, 4, 0]",left
17,68,"[0, 2, 0, 0, 0, 0, 4, 4, 0, 0, 0, 8, 0, 4, 16, 4]",right
18,68,"[0, 2, 4, 4, 0, 4, 16, 8, 0, 0, 0, 4, 2, 0, 0, 0]",up
19,76,"[2, 0, 2, 8, 0, 4, 16, 8, 0, 0, 0, 4, 0, 0, 0, 2]",right
20,80,"[4, 8, 2, 0, 4, 16, 8, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
21,88,"[0, 0, 0, 4, 8, 0, 0, 0, 4, 8, 2, 0, 2, 16, 8, 0]",down
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",left
2,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up
3,4,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",right
4,4,"[4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",left
5,8,"[4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up
6,8,"[0, 0, 4, 2, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0]",right
7,8,"[4, 2, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0]",left
8,20,"[0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 0, 4, 2, 2, 0]",down
9,24,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 4, 4]",right
10,32,"[2, 0, 0, 0, 2, 0, 0, 0, 8, 0, 2, 0, 8, 0, 0, 0]",left
11,52,"[4, 0, 2, 0, 16, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
12,52,"[0, 2, 4, 2, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
13,52,"[2, 4, 2, 0, 16, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",left
14,56,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 16, 2, 4, 0]",down
15,56,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 16, 2, 4]",right
16,56,"[2, 0, 0, 0, 0, 0, 2, 0, 2, 4, 2, 0, 16, 2, 4, 0]",left
17,64,"[4, 4, 4, 0, 16, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up
18,72,"[0, 0, 4, 8, 0, 16, 2, 4, 0, 2, 0, 0, 0, 0, 0, 2]",right
19,72,"[4, 8, 0, 0, 16, 2, 4, 0, 2, 0, 0, 0, 2, 0, 2, 0]",left
20,76,"[0, 0, 0, 0, 4, 0, 0, 2, 16, 8, 4, 0, 4, 2, 2, 0]",down
21,80,"[0, 0, 0, 0, 2, 0, 4, 2, 0, 16, 8, 4, 0, 0, 4, 4]",right
22,88,"[0, 0, 0, 4, 2, 4, 2, 0, 16, 8, 4, 0, 8, 0, 0, 0]",left
23,88,"[2, 4, 2, 4, 16, 8, 4, 0, 8, 0, 0, 0, 2, 0, 0, 0]",up
1,0,"[2, 4, 2, 4, 0, 16, 8, 4, 2, 0, 8, 2, 0, 0, 0, 2]",right
2,0,"[2, 4, 2, 4, 16, 8, 4, 0, 2, 8, 2, 0, 2, 0, 0, 2]",left
3,4,"[0, 0, 0, 0, 2, 4, 2, 2, 16, 8, 4, 4, 4, 8, 2, 2]",down
4,20,"[0, 0, 0, 0, 0, 2, 4, 4, 0, 16, 8, 8, 2, 4, 8, 4]",right
5,36,"[2, 2, 4, 4, 0, 16, 16, 8, 0, 4, 0, 4, 0, 0, 2, 0]",up
6,56,"[4, 8, 0, 0, 16, 16, 8, 2, 8, 0, 0, 0, 2, 0, 0, 0]",left
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",right
2,0,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
3,4,"[4, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
4,4,"[0, 0, 4, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
5,8,"[4, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left
6,8,"[0, 0, 4, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right
7,8,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 4, 2, 0, 4, 2]",down
8,12,"[0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 0, 0, 2, 4, 2, 0]",left
9,28,"[8, 8, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up
10,44,"[0, 0, 16, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2]",right
11,56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 16, 2]",down
12,56,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 16, 2, 0, 2]",left
13,60,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 8, 0, 0, 16, 4]",right
14,60,"[4, 0, 2, 8, 0, 2, 16, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up
15,60,"[0, 4, 2, 8, 0, 2, 16, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right
16,60,"[4, 2, 8, 2, 2, 16, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left
17,64,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 8, 0, 4, 16, 4, 2]",down
18,64,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 4, 2, 8, 4, 16, 4, 2]",right
19,64,"[2, 0, 0, 0, 2, 0, 2, 0, 4, 2, 8, 0, 4, 16, 4, 2]",left
20,68,"[2, 0, 0, 2, 0, 0, 0, 4, 0, 4, 2, 8, 4, 16, 4, 2]",right
21,68,"[0, 2, 0, 2, 0, 0, 0, 4, 2, 4, 2, 8, 4, 16, 4, 2]",down
22,72,"[0, 2, 0, 4, 0, 0, 0, 4, 2, 4, 2, 8, 4, 16, 4, 2]",right
23,80,"[2, 2, 2, 8, 4, 4, 4, 8, 0, 16, 0, 2, 0, 2, 0, 0]",up
24,92,"[4, 2, 8, 0, 8, 4, 8, 0, 16, 2, 0, 0, 2, 0, 0, 2]",left
1,8,"[4, 2, 8, 2, 8, 4, 8, 2, 0, 0, 16, 4, 0, 2, 0, 4]",right
2,8,"[4, 2, 8, 2, 8, 4, 8, 2, 16, 4, 0, 2, 2, 4, 0, 0]",left
3,20,"[4, 2, 8, 4, 8, 8, 8, 2, 16, 4, 0, 0, 2, 0, 2, 0]",up
4,40,"[4, 2, 8, 4, 0, 8, 16, 2, 0, 0, 16, 4, 0, 0, 2, 4]",right
5,40,"[4, 2, 8, 4, 8, 16, 2, 0, 16, 4, 0, 2, 2, 4, 0, 0]",left
6,48,"[4, 0, 2, 0, 8, 2, 0, 0, 16, 16, 8, 4, 2, 8, 2, 2]",down
7,84,"[0, 0, 4, 2, 0, 0, 8, 2, 0, 32, 8, 4, 2, 2, 8, 4]",right
