Move,mean,max,min
679,10635.67441860465,11082,10048
680,10648.883720930233,11086,10052
681,10665.761904761905,11090,10060
682,10673.952380952382,11106,10060
683,10686.952380952382,11124,10060
684,10700.809523809523,11124,10062
685,10710.809523809523,11126,10066
686,10720.714285714286,11130,10074
687,10731.333333333334,11162,10074
688,10744.666666666666,11186,10082
689,10764.341463414634,11254,10102
690,10771.365853658537,11254,10102
691,10776.829268292682,11266,10138
692,10785.658536585366,11266,10146
693,10792.731707317073,11268,10148
694,10800.926829268292,11268,10156
695,10807.317073170732,11268,10176
696,10819.219512195123,11314,10176
697,10832.731707317073,11442,10180
698,10853.560975609756,11700,10184
699,10869.512195121952,11704,10192
700,10880.682926829268,11706,10192
701,10892.243902439024,11718,10192
702,10907.15,11734,10194
703,10920.666666666666,11738,10198
704,10926.564102564103,11738,10210
705,10940.051282051281,11742,10222
706,10950.894736842105,11742,10270
707,10960.21052631579,11746,10366
708,10969.947368421053,11746,10370
709,10994.263157894737,11794,10370
710,11001.052631578947,11810,10370
711,11007.842105263158,11814,10370
712,11019.0,11838,10370
713,11024.054054054053,11838,10374
714,11042.486486486487,11838,10386
715,11052.378378378378,11846,10394
716,11060.324324324325,11850,10394
717,11072.108108108108,11858,10396
718,11103.567567567568,11878,10416
719,11122.972972972973,11914,10420
720,11159.944444444445,12090,10420
721,11251.2,12332,10420
722,11268.914285714285,12332,10422
723,11293.885714285714,12332,10428
724,11322.285714285714,12332,10428
725,11360.514285714286,12332,10432
726,11375.257142857143,12334,10440
727,11405.028571428571,12334,10460
728,11444.285714285714,12354,10460
729,11476.514285714286,12386,10464
730,11504.8,12402,10472
731,11525.6,12402,10474
732,11544.171428571428,12406,10482
733,11559.485714285714,12422,10490
734,11594.628571428571,12426,10522
735,11599.942857142858,12426,10526
736,11630.411764705883,12442,10534
737,11659.757575757576,12446,10534
738,11674.0,12446,10538
739,11703.75,12446,10544
740,11713.9375,12448,10544
741,11751.3125,12468,10552
742,11776.6875,12472,10592
743,11790.1875,12524,10720
744,11814.0625,12524,10866
745,11845.8125,12588,10870
746,11859.5625,12588,10870
747,11870.6875,12592,10890
748,11894.6875,12592,10892
749,11941.3125,12620,10892
750,11952.3125,12624,10892
751,11985.1875,12628,10896
752,12013.5,12636,10902
753,12046.875,12654,10942
754,12063.9375,12676,10942
755,12072.625,12680,10944
756,12079.9375,12688,10944
757,12090.5625,12692,10944
758,12102.375,12692,10948
759,12118.3125,12696,10952
760,12124.125,12700,10956
761,12133.5,12710,10962
762,12149.5,12710,10962
763,12162.5625,12718,10970
764,12187.625,12718,10978
765,12197.8125,12720,10980
766,12212.3125,12768,11012
