Move,Score,Matrix,Previous_Move
83,546,"[2, 0, 2, 64, 2, 4, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",right,64
84,552,"[2, 0, 2, 64, 4, 0, 16, 2, 16, 8, 32, 16, 4, 16, 2, 4]",down,64
85,552,"[2, 8, 2, 64, 4, 16, 16, 2, 16, 2, 32, 16, 4, 0, 2, 4]",up,64
86,584,"[2, 8, 2, 64, 2, 4, 32, 2, 16, 2, 32, 16, 0, 4, 2, 4]",right,64
87,652,"[4, 8, 2, 64, 16, 4, 64, 2, 2, 2, 2, 16, 0, 4, 0, 4]",up,64
88,652,"[0, 8, 2, 64, 4, 4, 2, 2, 16, 2, 64, 16, 2, 4, 2, 4]",down,64
89,664,"[4, 8, 2, 64, 0, 0, 8, 4, 16, 2, 64, 16, 2, 4, 2, 4]",right,64
90,664,"[4, 8, 2, 64, 8, 4, 0, 2, 16, 2, 64, 16, 2, 4, 2, 4]",left,64
91,664,"[4, 8, 2, 64, 8, 4, 2, 2, 16, 2, 64, 16, 2, 4, 2, 4]",left,64
92,668,"[4, 8, 4, 64, 8, 4, 64, 2, 16, 2, 2, 16, 2, 4, 2, 4]",up,64
93,672,"[4, 8, 4, 64, 8, 4, 64, 2, 16, 2, 4, 16, 2, 4, 2, 4]",up,64
